token,tag,label,correction
Kemunculan,NOUN,0,_
virus,X,0,_
corona,X,0,_
mngakibatykan,X,1,mengakibatkan
sejumlah,DET,0,_
besar,ADJ,0,_
daerah,NOUN,0,_
di,ADP,0,_
dunia,NOUN,0,_
termasuk,VERB,0,_
Indonesia,PROPN,0,_
mengalami,VERB,0,_
dampak,NOUN,0,_
akibat,ADP,0,_
dari,ADP,0,_
kganasn,X,1,keganasan
virus,X,0,_
corona,X,0,_
.,PUNCT,0,_
Proses,NOUN,0,_
perbaikan,X,0,_
kesalahan,NOUN,0,_
ejaan,X,0,_
terbag,X,1,terbagi
menjadi,VERB,0,_
tiga,NUM,0,_
tahapan,NOUN,0,_
yakni,AUX,0,_
detection,X,0,_
errors,X,0,_
",",PUNCT,0,_
candidates,X,0,_
generation,X,0,_
dan,CCONJ,0,_
ranking,X,0,_
candidates,X,0,_
.,PUNCT,0,_
Permasalahan,NOUN,0,_
kesalahan,NOUN,0,_
ejaan,X,0,_
dapatt,X,1,dapat
terataasi,X,1,teratasi
dengan,ADP,0,_
memperhatikan,VERB,0,_
unit,NOUN,0,_
tekrecil,X,1,terkecil
dari,ADP,0,_
suku,NOUN,0,_
kata,NOUN,0,_
(,PUNCT,0,_
subword,X,0,_
),PUNCT,0,_
di,ADP,0,_
mana,NOUN,0,_
bagian,NOUN,0,_
terkecil,ADJ,0,_
dari,ADP,0,_
subword,X,0,_
adalah,AUX,0,_
karakter,NOUN,0,_
.,PUNCT,0,_
Sehingga,SCONJ,0,_
",",PUNCT,0,_
kita,PRON,0,_
kehilangan,NOUN,0,_
informasi,NOUN,0,_
mengenai,VERB,0,_
posisi,NOUN,0,_
sebuah,DET,0,_
objek,NOUN,0,_
relatif,ADJ,0,_
terhadap,ADP,0,_
obejk,X,1,objek
lainnya,_,0,_
yang,SCONJ,0,_
mana,NOUN,0,_
hal,NOUN,0,_
ini,DET,0,_
sebenarnya,ADV,0,_
sangat,ADV,0,_
penting,ADJ,0,_
untuk,SCONJ,0,_
membuat,VERB,0,_
mesin,NOUN,0,_
yang,SCONJ,0,_
memahami,VERB,0,_
dunia,NOUN,0,_
secara,ADP,0,_
3,NUM,0,_
dimensi,NOUN,0,_
.,PUNCT,0,_
Deep,PROPN,0,_
neural,X,0,_
networks,X,0,_
memang,ADV,0,_
agnostik,X,0,_
secara,ADP,0,_
bahasa,NOUN,0,_
namun,CCONJ,0,_
yang,SCONJ,0,_
menjadi,VERB,0,_
kendala,NOUN,0,_
ialah,AUX,0,_
membutuhkan,VERB,0,_
dattaa,X,1,data
yang,SCONJ,0,_
banyak,DET,0,_
.,PUNCT,0,_
Sementara,SCONJ,0,_
itu,DET,0,_
",",PUNCT,0,_
data,NOUN,0,_
yang,SCONJ,0,_
diperlukan,VERB,0,_
untuk,SCONJ,0,_
melatih,VERB,0,_
model,NOUN,0,_
deep,X,0,_
neural,X,0,_
network,X,0,_
harus,AUX,0,_
berlabel,VERB,0,_
.,PUNCT,0,_
Proses,NOUN,0,_
melabeli,VERB,0,_
data,NOUN,0,_
adalah,AUX,0,_
proses,NOUN,0,_
yang,SCONJ,0,_
rumit,ADJ,0,_
karena,SCONJ,0,_
harus,AUX,0,_
membutuhkan,VERB,0,_
banyak,DET,0,_
orang,NOUN,0,_
untuk,SCONJ,0,_
memperoleh,X,0,_
label,NOUN,0,_
yang,SCONJ,0,_
teruji,VERB,0,_
.,PUNCT,0,_
struktur,NOUN,0,_
data,NOUN,0,_
trie,X,0,_
dan,CCONJ,0,_
precomputed,X,0,_
edit,NOUN,0,_
distance,X,0,_
mampu,ADJ,0,_
meningkatkan,VERB,0,_
efiensi,X,1,efisiensi
waktu,NOUN,0,_
proses,NOUN,0,_
.,PUNCT,0,_
maka,SCONJ,0,_
dari,ADP,0,_
itu,DET,0,_
pada,ADP,0,_
subbab,X,0,_
selanjutnya,ADV,0,_
",",PUNCT,0,_
penulis,NOUN,0,_
akan,AUX,0,_
memaparkan,VERB,0,_
dataset,X,0,_
yang,SCONJ,0,_
tersedia,VERB,0,_
dari,ADP,0,_
bebeerapa,X,1,beberapa
bahasa,NOUN,0,_
.,PUNCT,0,_
Perangkat,NOUN,0,_
komputer,NOUN,0,_
",",PUNCT,0,_
telpon,NOUN,0,_
cerdas,ADJ,0,_
dan,CCONJ,0,_
perangkat,NOUN,0,_
teknologi,NOUN,0,_
sejenis,DET,0,_
sering,ADV,0,_
digunakan,VERB,0,_
untuk,SCONJ,0,_
membuat,VERB,0,_
teks,NOUN,0,_
",",PUNCT,0,_
baik,ADJ,0,_
itu,DET,0,_
berupa,VERB,0,_
pesan,NOUN,0,_
singkat,ADJ,0,_
",",PUNCT,0,_
kata,NOUN,0,_
kunci,NOUN,0,_
di,ADP,0,_
mesin,NOUN,0,_
pencari,NOUN,0,_
atau,CCONJ,0,_
dokumenn,X,1,dokumen
.,PUNCT,0,_
Tujuam,PROPN,1,tujuan
dari,ADP,0,_
penulisan,NOUN,0,_
ini,DET,0,_
ialah,AUX,0,_
diharapkan,VERB,0,_
tulisan,NOUN,0,_
ini,DET,0,_
dapat,AUX,0,_
menjadi,VERB,0,_
acuan,NOUN,0,_
dari,ADP,0,_
penulis,NOUN,0,_
yang,SCONJ,0,_
tertarik,VERB,0,_
dengan,ADP,0,_
topik,NOUN,0,_
spelling,X,0,_
correction,X,0,_
.,PUNCT,0,_
Semnetara,PROPN,1,sementara
itu,DET,0,_
",",PUNCT,0,_
semakin,ADV,0,_
besarnya,_,0,_
data,NOUN,0,_
yang,SCONJ,0,_
terdapat,VERB,0,_
pada,ADP,0,_
database,X,0,_
maka,SCONJ,0,_
akan,AUX,0,_
memerlukan,VERB,0,_
sumber,NOUN,0,_
dayaa,X,1,daya
komputasi,X,0,_
yang,SCONJ,0,_
tinggi,ADJ,0,_
pula,ADV,0,_
sehingga,SCONJ,0,_
diperlukan,VERB,0,_
spelling,X,0,_
correction,X,0,_
secara,ADP,0,_
otomatis,ADJ,0,_
.,PUNCT,0,_
Mereka,PRON,0,_
mempaarkna,X,1,memaparkan
bahwa,SCONJ,0,_
XLNET,PROPN,0,_
yang,SCONJ,0,_
merupakan,VERB,0,_
generalisasi,X,0,_
autoregresif,X,0,_
model,NOUN,0,_
dan,CCONJ,0,_
autoencoding,X,0,_
model,NOUN,0,_
mampu,ADJ,0,_
mengungguli,VERB,0,_
BERT,PROPN,0,_
yang,SCONJ,0,_
sebelumnya,ADV,0,_
menjadi,VERB,0,_
pendakatan,X,1,pendekatan
model,NOUN,0,_
bahasa,NOUN,0,_
terbaik,ADJ,0,_
dalam,ADP,0,_
20,NUM,0,_
task,X,0,_
.,PUNCT,0,_
XLNet,PROPN,0,_
memanfaatkan,VERB,0,_
kelebihan,NOUN,0,_
dari,ADP,0,_
dua,NUM,0,_
metode,NOUN,0,_
pretrain,X,0,_
yang,SCONJ,0,_
ada,VERB,0,_
",",PUNCT,0,_
yakni,AUX,0,_
autoregresif,X,0,_
yang,SCONJ,0,_
dapat,AUX,0,_
diartikan,VERB,0,_
sebagai,ADP,0,_
model,NOUN,0,_
prediksi,NOUN,0,_
berdasarkan,VERB,0,_
kata-kata,NOUN,0,_
sebelumnya,ADV,0,_
(,PUNCT,0,_
seperti,ADP,0,_
transformer-XL,X,0,_
),PUNCT,0,_
dan,CCONJ,0,_
autoencoding,X,0,_
yang,SCONJ,0,_
mampu,ADJ,0,_
mengakses,VERB,0,_
seluruh,DET,0,_
word,X,0,_
dalam,ADP,0,_
waktu,NOUN,0,_
berdamaam,X,1,bersamaan
.,PUNCT,0,_
Model,NOUN,0,_
berjalan,VERB,0,_
dengan,ADP,0,_
melakukan,VERB,0,_
permutasi,X,0,_
dari,ADP,0,_
setiap,X,0,_
kemunggkinan,X,1,kemungkinan
susunan,NOUN,0,_
yang,SCONJ,0,_
ada,VERB,0,_
.,PUNCT,0,_
Secara,ADP,0,_
umum,ADJ,0,_
",",PUNCT,0,_
XLNet,PROPN,0,_
dan,CCONJ,0,_
BERT,PROPN,0,_
memilliki,X,1,memiliki
karaktersitik,X,1,karakteristik
komputasi,X,0,_
yang,SCONJ,0,_
mirip,ADJ,0,_
Berdasarkan,VERB,0,_
penlitian,X,1,penelitian
yang,SCONJ,0,_
ada,VERB,0,_
",",PUNCT,0,_
kesimpulan,NOUN,0,_
yang,SCONJ,0,_
diperoleh,X,0,_
ialah,AUX,0,_
walaupun,SCONJ,0,_
XLNet,PROPN,0,_
memiliki,VERB,0,_
akurasi,NOUN,0,_
yang,SCONJ,0,_
lebih,ADJ,0,_
baik,ADJ,0,_
namun,CCONJ,0,_
waktu,NOUN,0,_
yang,SCONJ,0,_
diperluukan,X,1,diperlukan
lebih,ADJ,0,_
baynak,X,1,banyak
dari,ADP,0,_
BERT,PROPN,0,_
.,PUNCT,0,_
Pipalia,PROPN,0,_
dkk,NOUN,0,_
.,PUNCT,0,_
pada,ADP,0,_
tahun,NOUN,0,_
2020,NUM,0,_
membandingkan,VERB,0,_
beberapa,DET,0,_
arsitektur,NOUN,0,_
untuk,SCONJ,0,_
memperoleh,X,0,_
rsitektur,X,1,arsitektur
transformer-based,X,0,_
mana,NOUN,0,_
yang,SCONJ,0,_
terbaik,ADJ,0,_
pada,ADP,0,_
task,X,0,_
analisis,NOUN,0,_
sentimen,NOUN,0,_
.,PUNCT,0,_
Penelitian,PROPN,0,_
yang,SCONJ,0,_
ada,VERB,0,_
melakukan,VERB,0,_
fine,X,0,_
tune,X,0,_
dengan,ADP,0,_
memperimbankan,X,1,mempertimbangkan
dataset,X,0,_
yang,SCONJ,0,_
sedikit,ADJ,0,_
",",PUNCT,0,_
fine,X,0,_
tune,X,0,_
juga,ADV,0,_
dilakukan,VERB,0,_
untuk,SCONJ,0,_
menghindari,VERB,0,_
overfitting,X,0,_
.,PUNCT,0,_
Pada,ADP,0,_
propoosal,X,1,proposal
ini,DET,0,_
pendekatan,X,0,_
lexicon-based,X,0,_
dijadikan,VERB,0,_
opsi,NOUN,0,_
untuk,SCONJ,0,_
mempetoleh,X,1,memperoleh
data,NOUN,0,_
.,PUNCT,0,_
Selanjutnya,ADV,0,_
",",PUNCT,0,_
kata-kata,NOUN,0,_
yang,SCONJ,0,_
sering,ADV,0,_
muncul,VERB,0,_
namn,X,1,namun
tidak,PART,0,_
memiliki,VERB,0,_
makna,NOUN,0,_
secara,ADP,0,_
signipikan,X,1,signifikan
dapat,AUX,0,_
dihapus,VERB,0,_
(,PUNCT,0,_
stopword,X,0,_
removal,X,0,_
),PUNCT,0,_
dengan,ADP,0,_
menerjemahkan,VERB,0,_
setiap,X,0,_
tweet,X,0,_
terlebih,ADJ,0,_
dahulu,ADV,0,_
lalu,VERB,0,_
hitung,VERB,0,_
polarity,X,0,_
score,X,0,_
sehingga,SCONJ,0,_
diperoleh,X,0,_
tweet,X,0,_
bersentimen,VERB,0,_
negatif,ADJ,0,_
",",PUNCT,0,_
netral,ADJ,0,_
dan,CCONJ,0,_
positifi,VERB,1,positif
.,PUNCT,0,_
Perhitungan,NOUN,0,_
polarity,X,0,_
score,X,0,_
dilakukan,VERB,0,_
dengan,ADP,0,_
menjumlhkann,X,1,menjumlahkan
keseluruhan,NOUN,0,_
bobot,NOUN,0,_
teks,NOUN,0,_
pada,ADP,0,_
tweet,X,0,_
.,PUNCT,0,_
Pada,ADP,0,_
tahap,NOUN,0,_
ranking,X,0,_
candidates,X,0,_
",",PUNCT,0,_
seluruh,DET,0,_
kandidat,NOUN,0,_
diurutkan,VERB,0,_
berdasarkan,VERB,0,_
peluang,NOUN,0,_
kemunculannya,_,0,_
",",PUNCT,0,_
kandidat,NOUN,0,_
dengan,ADP,0,_
oeluang,X,1,peluang
tertinggi,ADJ,0,_
dijadikan,VERB,0,_
kokreksi,X,1,koreksi
.,PUNCT,0,_
Pertama,NUM,0,_
",",PUNCT,0,_
data,NOUN,0,_
training,X,0,_
pertama,NUM,0,_
merupakan,VERB,0,_
data,NOUN,0,_
training,X,0,_
dengan,ADP,0,_
label,NOUN,0,_
oleh,ADP,0,_
Inset,PROPN,0,_
Lexicon,PROPN,0,_
dan,CCONJ,0,_
data,NOUN,0,_
training,X,0,_
kedua,X,0,_
dengan,ADP,0,_
menggunakan,VERB,0,_
terjemhan,X,1,terjemahan
textblob,X,0,_
.,PUNCT,0,_
Kata,NOUN,0,_
',PUNCT,0,_
Dilarang,PROPN,0,_
',PUNCT,0,_
dan,CCONJ,0,_
',PUNCT,0,_
larangan,NOUN,0,_
',PUNCT,0,_
memiliki,VERB,0,_
bobot,NOUN,0,_
polarity,X,0,_
score,X,0,_
negatif,ADJ,0,_
maka,SCONJ,0,_
kalimat,NOUN,0,_
yang,SCONJ,0,_
mengandung,VERB,0,_
kata-kata,NOUN,0,_
ini,DET,0,_
cenderung,X,0,_
bersentimen,VERB,0,_
negatuff,X,1,negatif
.,PUNCT,0,_
Berdasarkan,VERB,0,_
hasil,NOUN,0,_
",",PUNCT,0,_
pelabelan,NOUN,0,_
dengan,ADP,0,_
textblob,X,0,_
lebih,ADJ,0,_
baik,ADJ,0,_
daripada,ADP,0,_
inset,X,0,_
lexicon,X,0,_
",",PUNCT,0,_
namun,CCONJ,0,_
perlu,VERB,0,_
dikaji,VERB,0,_
lebih,ADJ,0,_
mendalam,VERB,0,_
label,NOUN,0,_
sentimenn,X,1,sentimen
yang,SCONJ,0,_
dihasilkan,VERB,0,_
apakah,_,0,_
sesuuai,X,1,sesuai
dengan,ADP,0,_
sentimen,NOUN,0,_
yang,SCONJ,0,_
dianotasi,X,0,_
manual,X,0,_
oleh,ADP,0,_
ahlo,X,1,ahli
.,PUNCT,0,_
Seyiap,PROPN,1,setiap
kata,NOUN,0,_
akan,AUX,0,_
dijadikan,VERB,0,_
input,X,0,_
pada,ADP,0,_
model,NOUN,0,_
deteksi,VERB,0,_
",",PUNCT,0,_
lalu,VERB,0,_
model,NOUN,0,_
mengklompokkan,X,1,mengelompokkan
kata,NOUN,0,_
sebagai,ADP,0,_
kesalahan,NOUN,0,_
ejaan,X,0,_
atau,CCONJ,0,_
tidak,PART,0,_
.,PUNCT,0,_
Apabila,SCONJ,0,_
tidak,PART,0,_
ada,VERB,0,_
batasan,NOUN,0,_
atau,CCONJ,0,_
aturan,NOUN,0,_
yang,SCONJ,0,_
jelas,ADJ,0,_
mengenai,VERB,0,_
kandidat,NOUN,0,_
yimbul,X,1,timbul
permasalahan,NOUN,0,_
yakni,AUX,0,_
jumlah,NOUN,0,_
kandidat,NOUN,0,_
yang,SCONJ,0,_
banyak,DET,0,_
dan,CCONJ,0,_
malah,ADV,0,_
tidak,PART,0,_
relevan,ADJ,0,_
.,PUNCT,0,_
Kandidat,NOUN,0,_
terbaik,ADJ,0,_
selanjutnya,ADV,0,_
menjadi,VERB,0,_
perbaikann,X,1,perbaikan
kata,NOUN,0,_
yang,SCONJ,0,_
telah,AUX,0,_
terdeteksi,VERB,0,_
sebagai,ADP,0,_
kesalahan,NOUN,0,_
.,PUNCT,0,_
Penggunaan,NOUN,0,_
kamus,NOUN,0,_
pada,ADP,0,_
koreksi,NOUN,0,_
ejaan,X,0,_
otomatis,ADJ,0,_
di,ADP,0,_
tahun,NOUN,0,_
1970-an,NUM,0,_
masih,ADV,0,_
menjadi,VERB,0,_
kendala,NOUN,0,_
karena,SCONJ,0,_
keterbatasaan,X,1,keterbatasan
ruang,NOUN,0,_
memori,VERB,0,_
dan,CCONJ,0,_
kemampuan,NOUN,0,_
komputer,NOUN,0,_
.,PUNCT,0,_
Meskipun,SCONJ,0,_
begitu,DET,0,_
",",PUNCT,0,_
penggunaan,NOUN,0,_
kamus,NOUN,0,_
masih,ADV,0,_
memiliki,VERB,0,_
keterbatasan,X,0,_
yakni,AUX,0,_
senakin,X,1,semakin
besar,ADJ,0,_
kamus,NOUN,0,_
yang,SCONJ,0,_
digunakan,VERB,0,_
semakin,ADV,0,_
banyak,DET,0,_
pula,ADV,0,_
perhitumgan,X,1,perhitungan
edit,NOUN,0,_
distance,X,0,_
yang,SCONJ,0,_
dibutuhkan,VERB,0,_
.,PUNCT,0,_
Penggunaan,NOUN,0,_
sigmoid,X,0,_
dan,CCONJ,0,_
softmax,X,0,_
pada,ADP,0,_
output,X,0,_
layer,X,0,_
neural,X,0,_
network,X,0,_
merupakan,VERB,0,_
hal,NOUN,0,_
yang,SCONJ,0,_
sangat,ADV,0,_
lyumrah,X,1,lumrah
untuk,SCONJ,0,_
menyelesaikan,VERB,0,_
permasalahan,NOUN,0,_
supervised,X,0,_
learning,X,0,_
.,PUNCT,0,_
Kita,PRON,0,_
hidup,VERB,0,_
di,ADP,0,_
dunia,NOUN,0,_
tiga,NUM,0,_
dimensi,NOUN,0,_
",",PUNCT,0,_
sayangnya,ADV,0,_
kamera,NOUN,0,_
yang,SCONJ,0,_
uimum,X,1,umum
kita,PRON,0,_
gunakan,X,0,_
hanya,ADV,0,_
mampu,ADJ,0,_
melakukan,VERB,0,_
proyeksi,NOUN,0,_
duaa,X,1,dua
dimensi,NOUN,0,_
.,PUNCT,0,_
Penelitian,PROPN,0,_
ini,DET,0,_
akan,AUX,0,_
mempelajari,X,0,_
dampak,NOUN,0,_
penerapan,NOUN,0,_
SVM,PROPN,0,_
sebagai,ADP,0,_
output,X,0,_
layer,X,0,_
pada,ADP,0,_
PointNet,PROPN,0,_
dan,CCONJ,0,_
dampak,NOUN,0,_
expansi,X,1,ekspansi
dimensi,NOUN,0,_
terhadap,ADP,0,_
hasil,NOUN,0,_
segmentasi,VERB,0,_
.,PUNCT,0,_
PointNet,PROPN,0,_
mampu,ADJ,0,_
memproses,VERB,0,_
raw,X,0,_
point,X,0,_
cloud,X,0,_
beserta,X,0,_
fitur,X,0,_
pada,ADP,0,_
tiap-tiap,DET,0,_
point,X,0,_
tanpa,ADP,0,_
harus,AUX,0,_
melakukan,VERB,0,_
proyeksi,NOUN,0,_
dua,NUM,0,_
dminensi,X,1,dimensi
terhadap,ADP,0,_
point,X,0,_
cloud,X,0,_
.,PUNCT,0,_
Dewasa,ADJ,0,_
ini,DET,0,_
perkembangan,NOUN,0,_
teknologi,NOUN,0,_
sanggat,X,1,sangat
pest,X,1,pesat
",",PUNCT,0,_
terlihat,VERB,0,_
dari,ADP,0,_
bermacam-macam,VERB,0,_
teknologi,NOUN,0,_
yang,SCONJ,0,_
muncul,VERB,0,_
dan,CCONJ,0,_
hadir,VERB,0,_
untuk,SCONJ,0,_
membantu,VERB,0,_
kerja,VERB,0,_
manusia,NOUN,0,_
Dilansir,VERB,0,_
dari,ADP,0,_
BBC,PROPN,0,_
",",PUNCT,0,_
di,ADP,0,_
amerika,X,0,_
serikat,NOUN,0,_
perusahan,NOUN,1,perusahaan
teknologi,NOUN,0,_
seperti,ADP,0,_
Microsoft,PROPN,0,_
",",PUNCT,0,_
Facebook,PROPN,0,_
dan,CCONJ,0,_
Twitter,PROPN,0,_
telah,AUX,0,_
menerapkan,VERB,0,_
',PUNCT,0,_
work,X,0,_
from,X,0,_
home,X,0,_
',PUNCT,0,_
.,PUNCT,0,_
Dalam,ADP,0,_
berita,NOUN,0,_
yang,SCONJ,0,_
diterbitkan,VERB,0,_
oleh,ADP,0,_
BBC,PROPN,0,_
",",PUNCT,0,_
terdapat,VERB,0,_
survei,NOUN,0,_
yang,SCONJ,0,_
mengatakana,X,1,mengatakan
hampir,ADV,0,_
60,NUM,0,_
%,SYM,0,_
bisnis,NOUN,0,_
yang,SCONJ,0,_
berjalan,VERB,0,_
di,ADP,0,_
Eropa,PROPN,0,_
Barat,PROPN,0,_
dan,CCONJ,0,_
Amerika,PROPN,0,_
Utara,PROPN,0,_
",",PUNCT,0,_
25,NUM,0,_
%,SYM,0,_
dari,ADP,0,_
tenaga,NOUN,0,_
kerja,VERB,0,_
mereka,PRON,0,_
telah,AUX,0,_
menerapkan,VERB,0,_
berkerja,VERB,1,bekerja
dari,ADP,0,_
rumah,NOUN,0,_
.,PUNCT,0,_
Kebijakan,NOUN,0,_
bekerja,X,0,_
dari,ADP,0,_
rumah,NOUN,0,_
atau,CCONJ,0,_
work,X,0,_
from,X,0,_
home,X,0,_
di,ADP,0,_
Indonesia,PROPN,0,_
sendiri,ADJ,0,_
telah,AUX,0,_
diterapkan,VERB,0,_
sejak,SCONJ,0,_
presiden,NOUN,0,_
Joko,PROPN,0,_
Widodo,PROPN,0,_
maret,X,0,_
2020,NUM,0,_
menyerukan,VERB,0,_
untuk,SCONJ,0,_
melakukan,VERB,0,_
bekerja,X,0,_
dari,ADP,0,_
ruamh,X,1,rumah
.,PUNCT,0,_
Menurut,VERB,0,_
BBC,PROPN,0,_
",",PUNCT,0,_
teknologi-teknologi,NOUN,0,_
yang,SCONJ,0,_
digunakan,VERB,0,_
untuk,SCONJ,0,_
bekerja,X,0,_
dari,ADP,0,_
rumah,NOUN,0,_
akan,AUX,0,_
mejnadi,X,1,menjadi
tren,NOUN,0,_
kedepannya,X,0,_
.,PUNCT,0,_
Pada,ADP,0,_
materi,NOUN,0,_
ini,DET,0,_
",",PUNCT,0,_
peserta,X,0,_
didik,VERB,0,_
diharuskan,VERB,0,_
bisa,AUX,0,_
memahami,VERB,0,_
dan,CCONJ,0,_
menganalis,VERB,1,menganalisis
konsep,NOUN,0,_
yang,SCONJ,0,_
ada,VERB,0,_
dalam,ADP,0,_
materi,NOUN,0,_
usaha,NOUN,0,_
dan,CCONJ,0,_
energi,NOUN,0,_
.,PUNCT,0,_
Berdasarkan,VERB,0,_
hasil,NOUN,0,_
wawancara,NOUN,0,_
dengan,ADP,0,_
guru,NOUN,0,_
dalam,ADP,0,_
pembelajaran,X,0,_
